Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor,search key,download URL
109,City by the Sea,"$22,457,568","2,575","$22,449,000",Sep 6,Warner Bros.,City by the Sea subtitles cat,
110,The Wild Thornberrys,"$22,411,533","3,012","$40,108,697",Dec 20,Paramount Pictures,The Wild Thornberrys subtitles cat,
111,Ali,"$21,508,157","2,521","$58,203,105",Dec 25,Sony Pictures Releasing,Ali subtitles cat,
112,Van Wilder,"$21,305,259","2,104","$21,305,259",Apr 5,Artisan Entertainment,Van Wilder subtitles cat,
113,Frida,"$20,518,988",794,"$25,885,000",Oct 25,Miramax,Frida subtitles cat,
114,Martin Lawrence Live: Runteldat,"$19,184,820",774,"$19,184,820",Aug 2,Paramount Pictures,Martin Lawrence Live: Runteldat subtitles cat,
115,Hart's War,"$19,077,641","2,459","$19,077,641",Feb 15,Metro-Goldwyn-Mayer (MGM),Hart's War subtitles cat,
116,Rollerball,"$18,990,798","2,762","$18,990,798",Feb 8,Metro-Goldwyn-Mayer (MGM),Rollerball subtitles cat,
117,Tuck Everlasting,"$18,795,418","1,460","$19,161,999",Oct 11,Walt Disney Studios Motion Pictures,Tuck Everlasting subtitles cat,
118,Super Troopers,"$18,492,362","1,805","$18,492,362",Feb 15,Fox Searchlight Pictures,Super Troopers subtitles cat,
119,"Monsters, Inc.","$18,407,006","3,649","$255,873,250",Nov 2,Walt Disney Studios Motion Pictures,"Monsters, Inc. subtitles cat",
120,The Four Feathers,"$18,306,166","2,187","$18,306,166",Sep 20,Paramount Pictures,The Four Feathers subtitles cat,
121,Punch-Drunk Love,"$17,844,216","1,293","$17,844,216",Oct 11,Revolution Studios,Punch-Drunk Love subtitles cat,
122,Amélie,"$17,436,294",303,"$33,225,499",Nov 2,Miramax,Amélie subtitles cat,
123,Eight Legged Freaks,"$17,322,606","2,530","$17,322,606",Jul 17,Warner Bros.,Eight Legged Freaks subtitles cat,
124,The Country Bears,"$16,990,825","2,553","$16,990,825",Jul 26,Walt Disney Studios Motion Pictures,The Country Bears subtitles cat,
125,Serving Sara,"$16,930,185","2,174","$16,930,185",Aug 23,Paramount Pictures,Serving Sara subtitles cat,
126,White Oleander,"$16,357,770","1,510","$16,357,770",Oct 11,Warner Bros.,White Oleander subtitles cat,
127,Kung Pow: Enter the Fist,"$16,037,962","2,478","$16,037,962",Jan 25,Twentieth Century Fox,Kung Pow: Enter the Fist subtitles cat,
128,Empire,"$15,413,065",869,"$17,600,423",Dec 6,Universal Pictures,Empire subtitles cat,
129,Half Past Dead,"$15,374,912","2,113","$15,567,860",Nov 15,Sony Pictures Releasing,Half Past Dead subtitles cat,
130,Bowling for Columbine,"$15,364,197",248,"$21,576,018",Oct 11,United Artists,Bowling for Columbine subtitles cat,
131,The Next Best Thing,"$14,986,688","2,035","$14,990,582",Mar 3,Paramount Pictures,The Next Best Thing subtitles cat,
132,Solaris,"$14,838,227","2,406","$14,973,382",Nov 27,Twentieth Century Fox,Solaris subtitles cat,
133,Life or Something Like It,"$14,448,589","2,609","$14,448,589",Apr 26,Twentieth Century Fox,Life or Something Like It subtitles cat,
134,Ballistic: Ecks vs. Sever,"$14,307,963","2,705","$14,307,963",Sep 20,Warner Bros.,Ballistic: Ecks vs. Sever subtitles cat,
135,Stealing Harvard,"$14,036,406","2,366","$14,036,406",Sep 13,Revolution Studios,Stealing Harvard subtitles cat,
136,The Good Girl,"$14,018,296",688,"$14,018,296",Aug 7,Fox Searchlight Pictures,The Good Girl subtitles cat,
137,Monsoon Wedding,"$13,885,966",254,"$13,885,966",Feb 22,USA Films,Monsoon Wedding subtitles cat,
138,Y tu mamá también,"$13,839,658",286,"$13,839,658",Mar 15,IFC Films,Y tu mamá también subtitles cat,
139,Hey Arnold! The Movie,"$13,728,902","2,534","$13,728,902",Jun 28,Paramount Pictures,Hey Arnold! The Movie subtitles cat,
140,The Emperor's Club,"$13,673,240",811,"$14,118,751",Nov 22,Universal Pictures,The Emperor's Club subtitles cat,
141,Juwanna Mann,"$13,670,733","1,325","$13,670,733",Jun 21,Warner Bros.,Juwanna Mann subtitles cat,
142,Feardotcom,"$13,258,249","2,550","$13,258,249",Aug 30,Warner Bros.,Feardotcom subtitles cat,
143,Jason X,"$13,121,555","1,879","$13,121,555",Apr 26,New Line Cinema,Jason X subtitles cat,
144,Frailty,"$13,110,448","1,497","$13,110,448",Apr 12,Lionsgate,Frailty subtitles cat,
145,How High,"$12,944,920","1,273","$31,178,740",Dec 21,Universal Pictures,How High subtitles cat,
146,Undisputed,"$12,764,457","1,117","$12,764,657",Aug 23,Miramax,Undisputed subtitles cat,
147,They,"$12,616,304","1,623","$12,840,842",Nov 27,Dimension Films,They subtitles cat,
148,The Majestic,"$11,884,012","2,361","$27,807,266",Dec 21,Warner Bros.,The Majestic subtitles cat,
149,Knockaround Guys,"$11,693,962","1,806","$11,715,637",Oct 11,New Line Cinema,Knockaround Guys subtitles cat,
150,The Powerpuff Girls Movie,"$11,412,414","2,340","$11,412,414",Jul 3,Warner Bros.,The Powerpuff Girls Movie subtitles cat,
151,CyberWorld,"$11,315,437",38,"$11,253,900",Oct 6,IMAX,CyberWorld subtitles cat,
152,Brotherhood of the Wolf,"$11,260,096",405,"$11,260,096",Jan 11,Universal Pictures,Brotherhood of the Wolf subtitles cat,
153,Abandon,"$10,727,683","2,347","$10,727,683",Oct 18,Paramount Pictures,Abandon subtitles cat,
154,Far from Heaven,"$10,303,978",291,"$15,901,849",Nov 8,Focus Features,Far from Heaven subtitles cat,
155,Sorority Boys,"$10,200,032","1,801","$10,200,032",Mar 22,Walt Disney Studios Motion Pictures,Sorority Boys subtitles cat,
156,Possession,"$10,113,616",619,"$10,113,733",Aug 16,Focus Features,Possession subtitles cat,
157,S1m0ne,"$9,729,415","1,920","$9,688,676",Aug 23,New Line Cinema,S1m0ne subtitles cat,
158,The Shipping News,"$9,242,154",434,"$11,434,216",Dec 25,Miramax,The Shipping News subtitles cat,
159,Behind Enemy Lines,"$8,641,762","2,844","$58,856,790",Nov 30,Twentieth Century Fox,Behind Enemy Lines subtitles cat,
160,The Importance of Being Earnest,"$8,384,929",216,"$8,384,929",May 17,Miramax,The Importance of Being Earnest subtitles cat,
161,Death to Smoochy,"$8,364,691","2,164","$8,364,691",Mar 29,Warner Bros.,Death to Smoochy subtitles cat,
162,Joe Somebody,"$8,194,551","2,517","$22,771,646",Dec 21,Twentieth Century Fox,Joe Somebody subtitles cat,
163,Star Wars: Episode II - Attack of the Clones,,,,,,Star Wars: Episode II - Attack of the Clones subtitles cat,
2002 IMAX Release,,,,,,, subtitles cat,
"$7,979,225",58,"$8,485,488",Nov 1,Twentieth Century Fox,,,58 subtitles cat,
164,Not Another Teen Movie,"$7,387,484","2,365","$38,252,284",Dec 14,Sony Pictures Releasing,Not Another Teen Movie subtitles cat,
165,Shackleton's Antarctic Adventure,"$7,335,696",26,"$15,553,324",Feb 10,WGBH Giant-Screen Films,Shackleton's Antarctic Adventure subtitles cat,
166,Big Trouble,"$7,267,307","1,961","$7,267,307",Apr 5,Walt Disney Studios Motion Pictures,Big Trouble subtitles cat,
167,Trapped,"$7,073,251","2,227","$7,073,251",Sep 20,Sony Pictures Releasing,Trapped subtitles cat,
168,Kissing Jessica Stein,"$7,025,722",319,"$7,025,722",Mar 13,Fox Searchlight Pictures,Kissing Jessica Stein subtitles cat,
169,Moonlight Mile,"$6,788,377",437,"$6,835,856",Sep 27,Walt Disney Studios Motion Pictures,Moonlight Mile subtitles cat,
