rank,title,gross,theaters,total gross,release date,distributor,download URL
85,Stealth,"$32,116,746","$3,495","$32,116,746",Jul 29,Sony Pictures Releasing,https://www.subtitlecat.com/subs/141/Stealth.2005.1080p.BluRay.x264-SUNSPOT.html
86,House of Wax,"$32,064,800","$3,111","$32,064,800",May 6,Warner Bros.,https://subtitlecat.com/subs/444/House%20of%20Wax%20%282005%29.html
87,The Wedding Date,"$31,726,995","$1,704","$31,726,995",Feb 4,Universal Pictures,https://www.subtitlecat.com/subs/212/The.Wedding.Date.2005.1080p.BluRay.x264.AAC5.1-%5BYTS.MX%5D.html
88,Just Friends,"$31,366,561","$2,505","$32,619,671",Nov 23,New Line Cinema,https://www.subtitlecat.com/subs/6/Just%20Friends%202005.html
89,A History of Violence,"$31,176,424","$1,348","$31,504,633",Sep 23,New Line Cinema,https://www.subtitlecat.com/subs/337/A.History.Of.Violence.2005.1080p.BluRay.x265-RARBG.html
90,Get Rich or Die Tryin',"$30,783,362","$1,666","$30,985,352",Nov 9,Paramount Pictures,https://www.subtitlecat.com/subs/721/Get.Rich.Or.Die.Tryin.2005.1080p.BluRay.H264.AAC-RARBG.html
91,The Fog,"$29,511,112","$2,972","$29,550,869",Oct 14,Revolution Studios,https://www.subtitlecat.com/subs/575/The%20Fog%20%282005%29%20English.html
92,Rent,"$29,008,029","$2,437","$29,077,547",Nov 23,Revolution Studios,https://subtitlecat.com/subs/582/Rent.2005.1080p.BluRay.x265-RARBG.html
93,Doom,"$28,212,337","$3,044","$28,212,337",Oct 21,Universal Pictures,https://subtitlecat.com/subs/1186/Doom.2005.720p.BrRip.x264.YIFY-en.html
94,Zathura: A Space Adventure,"$28,045,540","$3,232","$29,258,869",Nov 11,Sony Pictures Releasing,https://www.subtitlecat.com/subs/31/Zathura.A.Space.Adventure.2005.1080p.BrRip.x264.BOKUTOX.YIFY.html
95,Finding Neverland,"$27,860,541","$1,411","$51,680,613",Nov 12,Miramax,https://subtitlecat.com/subs/550/Finding.Neverland.2004.720p.BrRip.x264.BOKUTOX.YIFY%20eng.SRT.html
96,xXx: State of the Union,"$26,873,932","$3,480","$26,873,932",Apr 29,Revolution Studios,https://www.subtitlecat.com/subs/29/xXx.State.of.The.Union.2005.720p.BRrip.x264.GAZ.YIFY.html
97,Elizabethtown,"$26,850,433","$2,517","$26,850,426",Oct 14,Paramount Pictures,https://www.subtitlecat.com/subs/26/Elizabethtown.2005.720p.WEB-DL.H264-HDCLUB.html
